label	verdict	outcome	n	S	A	R	adv	kd
akuma-jab-block	PASS	BLOCK	1	3	3	5	+3	0
akuma-far-jab-block	PASS	BLOCK	1	4	3	4	+4	0
akuma-strong-block	PASS	BLOCK	1	5	4	10	+1	0
akuma-far-strong-block	PASS	BLOCK	1	5	1	9	+4	0
akuma-fierce-block	PASS	BLOCK	1	4	4	17	-4	0
akuma-far-fierce-block	PASS	BLOCK	1	8	5	22	-6	0
akuma-short-block	PASS	BLOCK	1	4	4	7	+2	0
akuma-forward-block	PASS	BLOCK	1	4	5	11	+2	0
akuma-far-forward-block	PASS	BLOCK	1	5	5	17	-7	0
akuma-roundhouse-block	PASS	BLOCK	1	5	8	19	-6	0
akuma-far-roundhouse-block	PASS	BLOCK	1	9	5	20	-7	0
akuma-jab-hit	PASS	HIT	1	3	3	5	+3	0
akuma-strong-hit	PASS	HIT	1	5	4	10	+2	0
akuma-fierce-hit	PASS	HIT	1	4	4	17	-2	0
akuma-short-hit	PASS	HIT	1	4	4	7	+2	0
akuma-forward-hit	PASS	HIT	1	4	5	11	+4	0
akuma-roundhouse-hit	PASS	HIT	1	5	8	19	-4	0
akuma-lp-whiff	PASS	WHIFF	1	4	3	4	+0	0
akuma-mp-whiff	PASS	WHIFF	1	5	4	9	+0	0
akuma-hp-whiff	PASS	WHIFF	1	8	5	22	+0	0
akuma-lk-whiff	PASS	WHIFF	1	4	4	7	+0	0
akuma-mk-whiff	PASS	WHIFF	1	5	5	17	+0	0
akuma-hk-whiff	PASS	WHIFF	1	9	5	20	+0	0
akuma-crjab-block	PASS	BLOCK	1	4	3	5	+3	0
akuma-crstrong-block	PASS	BLOCK	1	5	4	7	+3	0
akuma-crfierce-block	PASS	BLOCK	1	5	5	19	-8	0
akuma-crshort-block	PASS	BLOCK	1	5	3	7	+1	0
akuma-crforward-block	PASS	BLOCK	1	6	1	16	-3	0
akuma-crroundhouse-block	PASS	BLOCK	1	7	5	25	-15	0
akuma-crroundhouse-hit	PASS	HIT	1	7	5	25	+28	1
akuma-twdsmp-block	PASS	BLOCK	1	14	2	20	-1	0
akuma-twdsmp-whiff	PASS	WHIFF	1	14	2	22	+0	0
akuma-uoh-whiff	PASS	WHIFF	1	15	8	7	+0	0
akuma-uoh-block	PASS	BLOCK	1	15	8	8	-4	0
akuma-uoh-hit	PASS	HIT	1	15	8	6	+1	0
akuma-throw-whiff	PASS	WHIFF	1	2	1	21	+0	0
akuma-throw-hit	PASS	HIT	1	2	1	38	+82	1
akuma-had-lp-block	PASS	BLOCK	1	8	3	38	-11	0
akuma-had-mp-block	PASS	BLOCK	1	8	3	38	-11	0
akuma-had-hp-block	PASS	BLOCK	1	8	3	38	-11	0
akuma-had-lp-hit	PASS	HIT	1	8	3	38	-10	0
akuma-had-mp-hit	PASS	HIT	1	8	3	38	-10	0
akuma-had-hp-hit	PASS	HIT	1	8	3	38	-10	0
akuma-srk-lp-whiff	PASS	WHIFF	1	3	14	26	+0	0
akuma-srk-lp-block	PASS	BLOCK	1	3	14	26	-24	0
akuma-srk-lp-hit	PASS	HIT	1	3	14	26	+72	1
akuma-tatsu-lk-whiff	PASS	WHIFF	1	11	4	17	+0	0
akuma-tatsu-lk-block	PASS	BLOCK	1	11	4	17	-12	0
akuma-tatsu-lk-hit	PASS	HIT	1	11	4	17	+81	1
akuma-hyakki-lk-whiff	PASS	WHIFF	1	40	15	13	+0	0
akuma-hyakki-lk-block	PASS	BLOCK	1	40	15	13	-11	0
akuma-hyakki-lk-hit	PASS	HIT	1	40	15	13	+32	1
akuma-ashura-whiff	PASS	WHIFF	1	75	0	0	+0	0
akuma-jump-none	PASS	-	0	-	-	-	-	-
