label	verdict	outcome	n	S	A	R	adv	kd
alex-jab-block	PASS	BLOCK	1	4	2	9	+1	0
alex-farjab-block	PASS	BLOCK	1	4	2	8	+1	0
alex-strong-block	PASS	BLOCK	1	4	3	12	-1	0
alex-fierce-block	PASS	BLOCK	1	14	2	17	-1	0
alex-short-block	PASS	BLOCK	1	5	3	10	+0	0
alex-forward-block	PASS	BLOCK	1	5	3	12	+0	0
alex-farforward-block	PASS	BLOCK	1	11	3	14	-1	0
alex-roundhouse-block	PASS	BLOCK	1	16	5	29	-13	0
alex-jab-hit	PASS	HIT	1	4	2	9	+1	0
alex-strong-hit	PASS	HIT	1	4	3	12	+0	0
alex-fierce-hit	PASS	HIT	1	14	2	17	+1	0
alex-short-hit	PASS	HIT	1	5	3	10	+0	0
alex-forward-hit	PASS	HIT	1	5	3	12	+1	0
alex-roundhouse-hit	PASS	HIT	1	16	5	18	+0	0
alex-lp-whiff	PASS	WHIFF	1	4	2	8	+0	0
alex-mp-whiff	PASS	WHIFF	1	4	3	12	+0	0
alex-hp-whiff	PASS	WHIFF	1	14	4	16	+0	0
alex-lk-whiff	PASS	WHIFF	1	5	3	10	+0	0
alex-mk-whiff	PASS	WHIFF	1	11	3	14	+0	0
alex-hk-whiff	PASS	WHIFF	1	16	5	29	+0	0
alex-crjab-block	PASS	BLOCK	1	4	1	9	+1	0
alex-crstrong-block	PASS	BLOCK	1	7	2	13	+0	0
alex-crfierce-block	PASS	BLOCK	1	13	5	22	-11	0
alex-crshort-block	PASS	BLOCK	1	5	2	8	+2	0
alex-crforward-block	PASS	BLOCK	1	8	3	12	-1	0
alex-crroundhouse-block	PASS	BLOCK	1	11	2	29	-15	0
alex-crfierce-hit	PASS	HIT	1	13	5	22	+85	1
alex-crroundhouse-hit	PASS	HIT	1	11	2	29	+28	1
alex-crfierce-whiff	PASS	WHIFF	1	13	5	22	+0	0
alex-crroundhouse-whiff	PASS	WHIFF	1	11	2	29	+0	0
alex-twdsmp-block	PASS	BLOCK	1	7	5	10	-1	0
alex-twdsmp-whiff	PASS	WHIFF	1	7	5	10	+0	0
alex-twdshp-block	PASS	BLOCK	1	9	4	17	-1	0
alex-twdshp-whiff	PASS	WHIFF	1	9	4	17	+0	0
alex-backhp-block	PASS	BLOCK	1	8	4	23	-11	0
alex-backhp-whiff	PASS	WHIFF	1	8	4	23	+0	0
alex-uoh-whiff	PASS	WHIFF	1	15	10	5	+0	0
alex-uoh-block	PASS	BLOCK	1	15	15	4	-4	0
alex-uoh-hit	PASS	HIT	1	15	12	4	+1	0
alex-throw-whiff	PASS	WHIFF	1	2	1	21	+0	0
alex-throw-hit	PASS	HIT	1	2	1	36	+77	1
alex-flashchop-lp-whiff	PASS	WHIFF	1	11	2	17	+0	0
alex-flashchop-lp-block	PASS	BLOCK	1	11	2	17	-2	0
alex-flashchop-lp-hit	PASS	HIT	1	11	2	17	+0	0
alex-powerbomb-lp-whiff	PASS	WHIFF	1	6	2	35	+0	0
alex-powerbomb-lp-unblockable-probe	PASS	HIT	1	6	2	67	+93	1
alex-powerbomb-lp-hit	PASS	HIT	1	6	2	67	+93	1
alex-spiralddt-lk-whiff	PASS	WHIFF	1	20	3	15	+0	0
alex-spiralddt-lk-unblockable-probe	PASS	HIT	1	20	3	43	+72	1
alex-spiralddt-lk-hit	PASS	HIT	1	20	3	43	+72	1
alex-slashelbow-lk-whiff	PASS	WHIFF	1	15	1	17	+0	0
alex-slashelbow-lk-block	PASS	BLOCK	1	15	1	17	-2	0
alex-slashelbow-lk-hit	PASS	HIT	1	15	1	17	+0	0
alex-airkneesmash-lk-whiff	PASS	WHIFF	1	6	6	35	+0	0
alex-airkneesmash-lk-close-grounded-probe	PASS	WHIFF	1	6	6	35	+0	0
alex-airstampede-lk-whiff	PASS	WHIFF	1	23	2	24	+0	0
alex-airstampede-lk-block	PASS	BLOCK	1	23	2	19	-3	0
alex-airstampede-lk-hit	PASS	HIT	1	23	2	19	+59	1
alex-jump-none	PASS	-	0	-	-	-	-	-
