label	verdict	outcome	n	S	A	R	adv	kd
chunli-jab-block	PASS	BLOCK	1	2	2	6	+2	0
chunli-farjab-block	PASS	BLOCK	1	3	5	4	+2	0
chunli-strong-block	PASS	BLOCK	1	6	8	9	-2	0
chunli-fierce-block	PASS	BLOCK	1	8	6	17	-2	0
chunli-short-block	PASS	BLOCK	1	3	1	9	+1	0
chunli-forward-block	PASS	BLOCK	1	6	2	24	-2	0
chunli-farforward-block	PASS	BLOCK	1	7	6	19	-5	0
chunli-roundhouse-block	PASS	BLOCK	1	4	9	12	-3	0
chunli-farroundhouse-block	PASS	BLOCK	1	12	1	16	+0	0
chunli-jab-hit	PASS	HIT	1	2	2	6	+2	0
chunli-strong-hit	PASS	HIT	1	6	8	9	-1	0
chunli-fierce-hit	PASS	HIT	1	8	6	17	+0	0
chunli-short-hit	PASS	HIT	1	3	1	9	+1	0
chunli-forward-hit	PASS	HIT	1	6	2	24	+0	0
chunli-roundhouse-hit	PASS	HIT	1	4	9	12	-1	0
chunli-lp-whiff	PASS	WHIFF	1	3	5	4	+0	0
chunli-mp-whiff	PASS	WHIFF	1	6	8	9	+0	0
chunli-hp-whiff	PASS	WHIFF	1	8	6	17	+0	0
chunli-lk-whiff	PASS	WHIFF	1	3	5	9	+0	0
chunli-mk-whiff	PASS	WHIFF	1	7	6	19	+0	0
chunli-hk-whiff	PASS	WHIFF	1	12	1	15	+0	0
chunli-crjab-block	PASS	BLOCK	1	2	4	5	+3	0
chunli-crstrong-block	PASS	BLOCK	1	8	2	18	-4	0
chunli-crfierce-block	PASS	BLOCK	1	8	2	17	-1	0
chunli-crshort-block	PASS	BLOCK	1	4	2	6	+3	0
chunli-crforward-block	PASS	BLOCK	1	6	2	14	-2	0
chunli-crroundhouse-block	PASS	BLOCK	1	7	3	21	-7	0
chunli-crroundhouse-hit	PASS	HIT	1	7	3	21	+36	1
chunli-crfierce-whiff	PASS	WHIFF	1	8	2	22	+0	0
chunli-crfierce-hit	PASS	HIT	1	8	2	17	+1	0
chunli-twdsmk-block	PASS	BLOCK	1	11	7	11	+0	0
chunli-twdsmk-whiff	PASS	WHIFF	1	11	7	11	+0	0
chunli-uoh-whiff	PASS	WHIFF	1	15	10	5	+0	0
chunli-uoh-block	PASS	BLOCK	1	15	14	4	-6	0
chunli-uoh-hit	PASS	HIT	1	15	14	4	-1	0
chunli-throw-whiff	PASS	WHIFF	1	2	1	21	+0	0
chunli-throw-hit	PASS	HIT	1	2	1	41	+95	1
chunli-kik-lp-block	PASS	BLOCK	1	14	3	45	-17	0
chunli-kik-mp-block	PASS	BLOCK	1	13	3	38	-10	0
chunli-kik-hp-block	PASS	BLOCK	1	11	3	32	-4	0
chunli-kik-lp-hit	PASS	HIT	1	14	3	45	-16	0
chunli-kik-mp-hit	PASS	HIT	1	13	3	38	-9	0
chunli-kik-hp-hit	PASS	HIT	1	11	3	32	-3	0
chunli-hazan-lk-whiff	PASS	WHIFF	1	22	3	18	+0	0
chunli-hazan-lk-block	PASS	BLOCK	1	22	1	18	-2	0
chunli-hazan-lk-hit	PASS	HIT	1	22	1	18	-2	0
chunli-sbk-lk-whiff	PASS	WHIFF	1	12	4	21	+0	0
chunli-sbk-lk-block	PASS	BLOCK	1	12	4	21	-2	0
chunli-jump-none	PASS	-	0	-	-	-	-	-
