label	verdict	outcome	n	S	A	R	adv	kd
dudley-jab-block	PASS	BLOCK	1	3	2	6	+3	0
dudley-strong-block	PASS	BLOCK	1	3	2	10	+1	0
dudley-fierce-block	PASS	BLOCK	1	7	3	17	-1	0
dudley-short-block	PASS	BLOCK	1	5	2	8	+2	0
dudley-forward-block	PASS	BLOCK	1	5	3	13	+0	0
dudley-roundhouse-block	PASS	BLOCK	1	5	3	12	+4	0
dudley-jab-hit	PASS	HIT	1	3	2	6	+3	0
dudley-strong-hit	PASS	HIT	1	3	2	10	+2	0
dudley-fierce-hit	PASS	HIT	1	7	3	17	+1	0
dudley-short-hit	PASS	HIT	1	5	2	8	+2	0
dudley-forward-hit	PASS	HIT	1	5	3	13	+2	0
dudley-roundhouse-hit	PASS	HIT	1	5	3	12	+6	0
dudley-lp-whiff	PASS	WHIFF	1	3	2	6	+0	0
dudley-mp-whiff	PASS	WHIFF	1	3	2	10	+0	0
dudley-hp-whiff	PASS	WHIFF	1	7	3	17	+0	0
dudley-lk-whiff	PASS	WHIFF	1	5	2	8	+0	0
dudley-mk-whiff	PASS	WHIFF	1	5	3	13	+0	0
dudley-hk-whiff	PASS	WHIFF	1	5	3	12	+0	0
dudley-crjab-block	PASS	BLOCK	1	3	1	9	+1	0
dudley-crstrong-block	PASS	BLOCK	1	4	2	9	+2	0
dudley-crfierce-block	PASS	BLOCK	1	7	4	13	+0	0
dudley-crshort-block	PASS	BLOCK	1	4	1	10	+0	0
dudley-crforward-whiff	PASS	WHIFF	1	9	3	22	+0	0
dudley-crforward-block	PASS	BLOCK	1	9	1	25	-12	0
dudley-crforward-hit	PASS	HIT	1	9	1	25	+32	1
dudley-crroundhouse-whiff	PASS	WHIFF	1	15	3	21	+0	0
dudley-crroundhouse-block	PASS	BLOCK	1	15	1	15	+1	0
dudley-crroundhouse-hit	PASS	HIT	1	15	1	15	+97	1
dudley-twdslp-block	PASS	BLOCK	1	4	2	8	+1	0
dudley-twdslp-whiff	PASS	WHIFF	1	4	2	8	+0	0
dudley-twdsmp-block	PASS	BLOCK	1	8	5	10	-1	0
dudley-twdsmp-whiff	PASS	WHIFF	1	8	5	10	+0	0
dudley-twdshp-block	PASS	BLOCK	1	15	5	16	-3	0
dudley-twdshp-whiff	PASS	WHIFF	1	15	5	16	+0	0
dudley-twdsmk-block	PASS	BLOCK	1	5	2	9	+2	0
dudley-twdsmk-whiff	PASS	WHIFF	1	5	2	9	+0	0
dudley-twdshk-block	PASS	BLOCK	1	12	4	16	-2	0
dudley-twdshk-whiff	PASS	WHIFF	1	12	4	16	+0	0
dudley-uoh-whiff	PASS	WHIFF	1	15	10	5	+0	0
dudley-uoh-block	PASS	BLOCK	1	15	14	4	-4	0
dudley-uoh-hit	PASS	HIT	1	15	14	4	+1	0
dudley-mgb-lp-whiff	PASS	WHIFF	1	8	8	18	+0	0
dudley-mgb-mp-whiff	PASS	WHIFF	1	15	10	24	+0	0
dudley-jetup-lp-whiff	PASS	WHIFF	1	4	8	29	+0	0
dudley-jetup-mp-whiff	PASS	WHIFF	1	4	16	28	+0	0
dudley-jetup-hp-whiff	PASS	WHIFF	1	3	21	32	+0	0
dudley-ssb-lk-whiff	PASS	WHIFF	1	17	3	13	+0	0
dudley-ssb-mk-whiff	PASS	WHIFF	1	20	3	13	+0	0
dudley-ssb-hk-whiff	PASS	WHIFF	1	23	3	13	+0	0
dudley-crosscounter-lp-whiff	PASS	WHIFF	1	89	0	0	+0	0
dudley-ducking-whiff	PASS	WHIFF	1	18	0	0	+0	0
dudley-mgb-lp-block	PASS	BLOCK	1	8	6	18	-3	0
dudley-mgb-mp-block	PASS	BLOCK	1	15	8	24	-9	0
dudley-mgb-hp-block	PASS	BLOCK	1	17	11	30	-15	0
dudley-mgb-lp-hit	PASS	HIT	1	8	6	18	-1	0
dudley-mgb-mp-hit	PASS	HIT	1	15	8	16	+1	0
dudley-mgb-hp-hit	PASS	HIT	1	17	11	16	+1	0
dudley-jetup-lp-block	PASS	BLOCK	1	4	12	29	-23	0
dudley-jetup-mp-block	PASS	BLOCK	1	4	20	28	-30	0
dudley-jetup-hp-block	PASS	BLOCK	1	3	25	32	-38	0
dudley-jetup-lp-hit	PASS	HIT	1	4	16	19	+79	1
dudley-jetup-mp-hit	PASS	HIT	1	4	16	21	+77	1
dudley-jetup-hp-hit	PASS	HIT	1	3	17	23	+75	1
dudley-throw-whiff	PASS	WHIFF	1	2	1	21	+0	0
dudley-throw-hit	PASS	HIT	1	2	1	138	+110	1
dudley-jump-none	PASS	-	0	-	-	-	-	-
