label	verdict	outcome	n	S	A	R	adv	kd
elena-jab-block	PASS	BLOCK	1	5	2	10	+0	0
elena-strong-block	PASS	BLOCK	1	6	5	19	-2	0
elena-fierce-block	PASS	BLOCK	1	13	4	19	-4	0
elena-short-block	PASS	BLOCK	1	3	2	6	+4	0
elena-forward-block	PASS	BLOCK	1	7	2	17	-2	0
elena-roundhouse-block	PASS	BLOCK	1	10	7	11	-2	0
elena-jab-hit	PASS	HIT	1	5	2	10	+0	0
elena-strong-hit	PASS	HIT	1	6	5	19	-1	0
elena-fierce-hit	PASS	HIT	1	13	4	19	-2	0
elena-short-hit	PASS	HIT	1	3	2	6	+4	0
elena-forward-hit	PASS	HIT	1	7	2	17	-1	0
elena-roundhouse-hit	PASS	HIT	1	10	7	11	-1	0
elena-lp-whiff	PASS	WHIFF	1	5	4	10	+0	0
elena-mp-whiff	PASS	WHIFF	1	6	5	19	+0	0
elena-hp-whiff	PASS	WHIFF	1	13	4	19	+0	0
elena-lk-whiff	PASS	WHIFF	1	3	4	6	+0	0
elena-mk-whiff	PASS	WHIFF	1	7	2	17	+0	0
elena-hk-whiff	PASS	WHIFF	1	10	7	11	+0	0
elena-crjab-block	PASS	BLOCK	1	4	4	7	-1	0
elena-crstrong-block	PASS	BLOCK	1	6	6	10	-3	0
elena-crfierce-block	PASS	BLOCK	1	7	2	23	-7	0
elena-crshort-block	PASS	BLOCK	1	4	4	8	-2	0
elena-crforward-block	PASS	BLOCK	1	8	3	13	-3	0
elena-crroundhouse-block	PASS	BLOCK	1	11	2	25	-9	0
elena-crroundhouse-whiff	PASS	WHIFF	1	11	2	26	+0	0
elena-crroundhouse-hit	PASS	HIT	1	11	2	25	+34	1
elena-twdsstrong-block	PASS	BLOCK	1	15	2	18	-2	0
elena-twdsstrong-whiff	PASS	WHIFF	1	15	4	18	+0	0
elena-twdsforward-block	PASS	BLOCK	1	11	8	16	-6	0
elena-twdsforward-whiff	PASS	WHIFF	1	11	8	16	+0	0
elena-backroundhouse-block	PASS	BLOCK	1	12	6	12	+4	0
elena-backroundhouse-whiff	PASS	WHIFF	1	12	6	12	+0	0
elena-dtwdsroundhouse-block	PASS	BLOCK	1	12	6	24	-14	0
elena-dtwdsroundhouse-whiff	PASS	WHIFF	1	12	6	24	+0	0
elena-dtwdsroundhouse-hit	PASS	HIT	1	12	6	24	+29	1
elena-uoh-whiff	PASS	WHIFF	1	15	10	5	+0	0
elena-uoh-block	PASS	BLOCK	1	15	12	4	-4	0
elena-uoh-hit	PASS	HIT	1	15	10	4	+1	0
elena-malletsmash-lp-whiff	PASS	WHIFF	1	21	8	13	+0	0
elena-malletsmash-lp-block	PASS	BLOCK	1	21	8	13	+1	0
elena-malletsmash-lp-crouch-probe	PASS	BLOCK	1	21	8	13	+1	0
elena-malletsmash-lp-hit	PASS	HIT	1	21	8	13	+1	0
elena-scratchwheel-lk-whiff	PASS	WHIFF	1	6	4	31	+0	0
elena-scratchwheel-lk-block	PASS	BLOCK	1	6	4	31	-19	0
elena-scratchwheel-lk-hit	PASS	HIT	1	6	4	31	+77	1
elena-spinscythe-lk-whiff	PASS	WHIFF	1	15	4	18	+0	0
elena-spinscythe-lk-block	PASS	BLOCK	1	15	4	18	-2	0
elena-spinscythe-lk-hit	PASS	HIT	1	15	4	18	+0	0
elena-lynxtail-lk-whiff	PASS	WHIFF	1	11	6	35	+0	0
elena-lynxtail-lk-block	XFAIL	BLOCK	1	11	2	43	-17	0
elena-lynxtail-lk-hit	PASS	HIT	1	11	4	35	+15	1
elena-throw-whiff	PASS	WHIFF	1	2	1	21	+0	0
elena-throw-hit	PASS	HIT	1	2	1	13	+91	1
elena-rhinohorn-lk-block	PASS	BLOCK	1	14	9	14	-3	0
elena-rhinohorn-lk-hit	PASS	HIT	1	14	9	14	+71	1
elena-rhinohorn-lk-farhit-probe	PASS	HIT	1	14	9	14	+71	1
elena-jump-none	PASS	-	0	-	-	-	-	-
