label	verdict	outcome	n	S	A	R	adv	kd
h-jab-block	PASS	BLOCK	1	4	4	8	-1	0
h-strong-block	PASS	BLOCK	1	10	7	12	-5	0
h-fierce-block	PASS	BLOCK	1	16	7	15	-3	0
h-short-block	PASS	BLOCK	1	5	1	9	+1	0
h-forward-block	PASS	BLOCK	1	9	5	23	-4	0
h-roundhouse-block	PASS	BLOCK	1	21	8	30	-18	0
h-jab-hit	PASS	HIT	1	4	4	8	-1	0
h-fierce-hit	PASS	HIT	1	16	7	15	-1	0
h-strong-hit	PASS	HIT	1	10	7	8	+0	0
h-short-hit	PASS	HIT	1	5	1	9	+1	0
h-forward-hit	PASS	HIT	1	9	5	20	+1	0
h-roundhouse-hit	PASS	HIT	1	21	8	30	-2	0
h-jab-whiff	PASS	WHIFF	1	4	4	8	+0	0
h-roundhouse-whiff	PASS	WHIFF	1	21	8	28	+0	0
h-crshort-block	PASS	BLOCK	1	3	3	7	+2	0
h-crforward-block	PASS	BLOCK	1	8	5	17	-5	0
h-crfierce-block	PASS	BLOCK	1	13	10	37	-29	0
h-twdshp-block	PASS	BLOCK	1	14	4	33	-14	0
h-jump-none	PASS	-	0	-	-	-	-	-
h-sdb-short-whiff	PASS	WHIFF	1	5	9	30	+0	0
h-sdb-forward-whiff	PASS	WHIFF	1	17	10	25	+0	0
h-sdb-rh-whiff	PASS	WHIFF	1	12	12	29	+0	0
h-moonsault-lp-hit	PASS	HIT	1	2	2	99	+80	1
h-moonsault-mp-hit	PASS	HIT	1	2	2	100	+80	1
h-moonsault-hp-hit	PASS	HIT	1	2	2	98	+80	1
h-moonsault-lp-whiff	PASS	WHIFF	1	2	2	36	+0	0
h-meatsquasher-short-whiff	PASS	WHIFF	1	24	2	30	+0	0
h-meatsquasher-short-hit	PASS	HIT	1	21	2	84	+133	1
h-meatsquasher-forward-hit	PASS	HIT	1	31	2	80	+133	1
h-meatsquasher-rh-hit	PASS	HIT	1	44	2	84	+133	1
