label	verdict	outcome	n	S	A	R	adv	kd
ibuki-jab-block	PASS	BLOCK	1	2	1	5	+5	0
ibuki-farjab-block	PASS	BLOCK	1	2	2	2	+6	0
ibuki-strong-block	PASS	BLOCK	1	6	2	6	+6	0
ibuki-fierce-block	PASS	BLOCK	1	9	5	15	-3	0
ibuki-farfierce-block	PASS	BLOCK	1	13	4	14	-1	0
ibuki-short-block	PASS	BLOCK	1	4	4	6	+1	0
ibuki-forward-block	PASS	BLOCK	1	5	1	14	+1	0
ibuki-roundhouse-block	PASS	BLOCK	1	5	7	22	-11	0
ibuki-farroundhouse-block	PASS	BLOCK	1	9	3	21	-2	0
ibuki-jab-hit	PASS	HIT	1	2	1	5	+5	0
ibuki-strong-hit	PASS	HIT	1	6	2	6	+7	0
ibuki-fierce-hit	PASS	HIT	1	9	5	15	-1	0
ibuki-short-hit	PASS	HIT	1	4	4	6	+1	0
ibuki-forward-hit	PASS	HIT	1	5	1	14	+2	0
ibuki-roundhouse-hit	PASS	HIT	1	5	7	22	+86	1
ibuki-lp-whiff	PASS	WHIFF	1	2	2	2	+0	0
ibuki-mp-whiff	PASS	WHIFF	1	6	2	6	+0	0
ibuki-hp-whiff	PASS	WHIFF	1	13	4	14	+0	0
ibuki-lk-whiff	PASS	WHIFF	1	4	4	6	+0	0
ibuki-mk-whiff	PASS	WHIFF	1	5	4	14	+0	0
ibuki-hk-whiff	PASS	WHIFF	1	9	3	21	+0	0
ibuki-crjab-block	PASS	BLOCK	1	3	3	3	+5	0
ibuki-crstrong-block	PASS	BLOCK	1	9	5	9	+2	0
ibuki-crfierce-block	PASS	BLOCK	1	8	3	18	-3	0
ibuki-crshort-block	PASS	BLOCK	1	5	3	5	+3	0
ibuki-crforward-block	PASS	BLOCK	1	6	5	11	-2	0
ibuki-crroundhouse-block	PASS	BLOCK	1	10	2	24	-8	0
ibuki-backstrong-block	PASS	BLOCK	1	6	7	10	-2	0
ibuki-backstrong-whiff	PASS	WHIFF	1	6	7	10	+0	0
ibuki-twdsshort-block	PASS	BLOCK	1	5	4	8	-1	0
ibuki-twdsshort-whiff	PASS	WHIFF	1	5	4	8	+0	0
ibuki-twdsforward-block	PASS	BLOCK	1	27	3	4	+6	0
ibuki-twdsforward-whiff	PASS	WHIFF	1	27	3	1	+0	0
ibuki-backforward-block	PASS	BLOCK	1	13	2	13	-2	0
ibuki-backforward-whiff	PASS	WHIFF	1	13	2	13	+0	0
ibuki-dtwdsforward-block	PASS	BLOCK	1	6	11	18	-16	0
ibuki-dtwdsforward-whiff	PASS	WHIFF	1	6	11	9	+0	0
ibuki-twdsroundhouse-block	PASS	BLOCK	1	12	1	22	-4	0
ibuki-twdsroundhouse-whiff	PASS	WHIFF	1	12	1	18	+0	0
ibuki-uoh-whiff	PASS	WHIFF	1	15	10	5	+0	0
ibuki-uoh-block	PASS	BLOCK	1	15	11	7	-4	0
ibuki-uoh-hit	PASS	HIT	1	15	11	5	+1	0
ibuki-throw-whiff	PASS	WHIFF	1	2	1	21	+0	0
ibuki-throw-hit	PASS	HIT	1	2	1	22	+81	1
ibuki-raida-lp-whiff	PASS	WHIFF	1	4	3	28	+0	0
ibuki-raida-lp-block	PASS	BLOCK	1	4	3	17	-5	0
ibuki-raida-lp-hit	PASS	HIT	1	4	3	24	+91	1
ibuki-kasumigake-lk-whiff	PASS	WHIFF	1	20	0	0	+0	0
ibuki-tsumuji-lk-whiff	PASS	WHIFF	1	11	2	19	+0	0
ibuki-tsumuji-lk-block	PASS	BLOCK	1	11	2	21	-4	0
ibuki-tsumuji-lk-hit	PASS	HIT	1	11	2	19	+0	0
ibuki-kubiori-lp-whiff	XFAIL	WHIFF	1	14	11	8	+0	0
ibuki-kubiori-lp-block	XFAIL	BLOCK	1	14	11	8	-3	0
ibuki-kubiori-lp-hit	PASS	HIT	1	14	1	39	+94	1
ibuki-kazekiri-lk-whiff	PASS	WHIFF	1	4	12	26	+0	0
ibuki-kazekiri-lk-block	PASS	BLOCK	1	4	12	26	-20	0
ibuki-kazekiri-lk-hit	PASS	HIT	1	4	12	26	+76	1
ibuki-jump-none	PASS	-	0	-	-	-	-	-
