label	verdict	outcome	n	S	A	R	adv	kd
ken-jab-block	PASS	BLOCK	1	3	3	5	+3	0
ken-far-jab-block	PASS	BLOCK	1	5	3	4	+4	0
ken-strong-block	PASS	BLOCK	1	4	4	10	+1	0
ken-far-strong-block	PASS	BLOCK	1	6	1	10	+3	0
ken-fierce-block	PASS	BLOCK	1	6	3	15	-2	0
ken-far-fierce-block	PASS	BLOCK	1	9	3	15	+0	0
ken-short-block	PASS	BLOCK	1	4	4	7	+2	0
ken-forward-block	PASS	BLOCK	1	8	10	16	-6	0
ken-roundhouse-block	PASS	BLOCK	1	11	3	19	-4	0
ken-jab-hit	PASS	HIT	1	3	3	5	+3	0
ken-strong-hit	PASS	HIT	1	4	4	10	+2	0
ken-fierce-hit	PASS	HIT	1	6	3	15	+0	0
ken-short-hit	PASS	HIT	1	4	4	7	+2	0
ken-forward-hit	PASS	HIT	1	8	8	16	-2	0
ken-roundhouse-hit	PASS	HIT	1	11	3	19	-2	0
ken-lp-whiff	PASS	WHIFF	1	5	3	4	+0	0
ken-mp-whiff	PASS	WHIFF	1	6	3	10	+0	0
ken-hp-whiff	PASS	WHIFF	1	9	3	15	+0	0
ken-lk-whiff	PASS	WHIFF	1	4	4	7	+0	0
ken-mk-whiff	PASS	WHIFF	1	8	7	16	+0	0
ken-hk-whiff	PASS	WHIFF	1	11	6	19	+0	0
ken-crjab-block	PASS	BLOCK	1	4	3	5	+3	0
ken-crstrong-block	PASS	BLOCK	1	5	4	7	+3	0
ken-crfierce-block	PASS	BLOCK	1	7	5	17	-6	0
ken-crshort-block	PASS	BLOCK	1	5	3	7	+1	0
ken-crforward-block	PASS	BLOCK	1	6	1	17	-4	0
ken-crroundhouse-block	PASS	BLOCK	1	6	5	26	-14	0
ken-crroundhouse-hit	PASS	HIT	1	6	5	26	+29	1
ken-twdsmk-block	PASS	BLOCK	1	16	4	15	-4	0
ken-twdsmk-whiff	PASS	WHIFF	1	16	4	15	+0	0
ken-twdshk-block	PASS	BLOCK	1	30	5	14	-1	0
ken-twdshk-whiff	PASS	WHIFF	1	30	5	18	+0	0
ken-uoh-block	PASS	BLOCK	1	15	8	8	-4	0
ken-uoh-hit	PASS	HIT	1	15	8	6	+1	0
ken-throw-whiff	PASS	WHIFF	1	2	1	21	+0	0
ken-throw-hit	PASS	HIT	1	2	1	128	+92	1
ken-had-lp-block	PASS	BLOCK	1	11	3	38	-11	0
ken-had-mp-block	PASS	BLOCK	1	11	3	38	-11	0
ken-had-hp-block	PASS	BLOCK	1	11	3	38	-11	0
ken-had-lp-hit	PASS	HIT	1	11	3	38	-10	0
ken-had-mp-hit	PASS	HIT	1	11	3	38	-10	0
ken-had-hp-hit	PASS	HIT	1	11	3	38	-10	0
ken-srk-lp-whiff	PASS	WHIFF	1	2	8	26	+0	0
ken-srk-lp-block	PASS	BLOCK	1	2	8	26	-17	0
ken-srk-lp-hit	PASS	HIT	1	2	8	26	+79	1
ken-tatsu-lk-whiff	PASS	WHIFF	1	6	7	14	+0	0
ken-tatsu-lk-block	PASS	BLOCK	1	6	7	15	-5	0
ken-tatsu-lk-hit	PASS	HIT	1	6	7	15	-3	0
ken-jump-none	PASS	-	0	-	-	-	-	-
