label	verdict	outcome	n	S	A	R	adv	kd
makoto-jab-block	PASS	BLOCK	1	4	4	6	+2	0
makoto-strong-block	PASS	BLOCK	1	8	5	4	+6	0
makoto-fierce-block	PASS	BLOCK	1	8	2	22	-5	0
makoto-short-block	PASS	BLOCK	1	4	1	12	-2	0
makoto-forward-block	PASS	BLOCK	1	7	3	13	-2	0
makoto-roundhouse-block	PASS	BLOCK	1	11	6	13	+0	0
makoto-jab-hit	PASS	HIT	1	4	4	6	+2	0
makoto-strong-hit	PASS	HIT	1	8	5	4	+7	0
makoto-fierce-hit	PASS	HIT	1	8	2	22	-3	0
makoto-short-hit	PASS	HIT	1	4	1	12	-2	0
makoto-forward-hit	PASS	HIT	1	7	3	13	-1	0
makoto-roundhouse-hit	PASS	HIT	1	11	6	13	+2	0
makoto-lp-whiff	PASS	WHIFF	1	4	6	6	+0	0
makoto-mp-whiff	PASS	WHIFF	1	8	11	4	+0	0
makoto-hp-whiff	PASS	WHIFF	1	8	2	22	+0	0
makoto-lk-whiff	PASS	WHIFF	1	4	5	12	+0	0
makoto-mk-whiff	PASS	WHIFF	1	7	5	13	+0	0
makoto-hk-whiff	PASS	WHIFF	1	11	9	13	+0	0
makoto-crjab-block	PASS	BLOCK	1	5	4	5	+3	0
makoto-crstrong-block	PASS	BLOCK	1	7	4	11	-1	0
makoto-crfierce-block	PASS	BLOCK	1	10	2	21	-6	0
makoto-crshort-block	PASS	BLOCK	1	4	4	10	-3	0
makoto-crforward-block	PASS	BLOCK	1	7	5	7	+3	0
makoto-crroundhouse-block	PASS	BLOCK	1	10	4	12	+2	0
makoto-crfierce-hit	PASS	HIT	1	10	2	21	+37	1
makoto-crroundhouse-hit	PASS	HIT	1	10	4	12	+4	0
makoto-twdslp-block	PASS	BLOCK	1	4	4	8	+0	0
makoto-twdslp-whiff	PASS	WHIFF	1	4	4	8	+0	0
makoto-twdsmp-block	PASS	BLOCK	1	9	4	9	+2	0
makoto-twdsmp-whiff	PASS	WHIFF	1	9	6	9	+0	0
makoto-twdshp-block	PASS	BLOCK	1	16	8	16	-4	0
makoto-twdshp-whiff	PASS	WHIFF	1	16	12	16	+0	0
makoto-twdslk-block	PASS	BLOCK	1	6	4	13	-5	0
makoto-twdslk-whiff	PASS	WHIFF	1	6	6	13	+0	0
makoto-twdsmk-block	PASS	BLOCK	1	17	5	18	-5	0
makoto-twdsmk-whiff	PASS	WHIFF	1	17	5	18	+0	0
makoto-twdshk-block	PASS	BLOCK	1	22	3	25	-11	0
makoto-twdshk-whiff	PASS	WHIFF	1	22	3	25	+0	0
makoto-twdshk-hit	PASS	HIT	1	22	3	25	+32	1
makoto-throw-whiff	PASS	WHIFF	1	2	1	21	+0	0
makoto-throw-hit	PASS	HIT	1	2	1	43	+19	1
makoto-hayate-lp-whiff	PASS	WHIFF	1	6	6	24	+0	0
makoto-hayate-mp-whiff	PASS	WHIFF	1	9	6	24	+0	0
makoto-hayate-hp-whiff	PASS	WHIFF	1	11	6	24	+0	0
makoto-hayate-lp-block	PASS	BLOCK	1	6	3	32	-12	0
makoto-hayate-mp-block	PASS	BLOCK	1	9	3	32	-12	0
makoto-hayate-hp-block	PASS	BLOCK	1	11	3	32	-12	0
makoto-hayate-lp-hit	PASS	HIT	1	6	3	20	+2	0
makoto-hayate-mp-hit	PASS	HIT	1	9	3	20	+2	0
makoto-hayate-hp-hit	PASS	HIT	1	11	3	20	+2	0
makoto-fukiage-lp-whiff	PASS	WHIFF	1	7	8	26	+0	0
makoto-fukiage-mp-whiff	PASS	WHIFF	1	10	8	26	+0	0
makoto-fukiage-hp-whiff	PASS	WHIFF	1	14	8	26	+0	0
makoto-oroshi-lp-whiff	PASS	WHIFF	1	19	7	17	+0	0
makoto-oroshi-mp-whiff	PASS	WHIFF	1	23	7	17	+0	0
makoto-oroshi-hp-whiff	PASS	WHIFF	1	28	7	17	+0	0
makoto-oroshi-lp-block	PASS	BLOCK	1	19	7	17	-4	0
makoto-oroshi-lp-hit	PASS	HIT	1	19	7	17	-2	0
makoto-karakusa-lk-whiff	PASS	WHIFF	1	7	3	28	+0	0
makoto-karakusa-lk-hit	PASS	HIT	1	7	3	133	+19	1
makoto-jump-none	PASS	-	0	-	-	-	-	-
