label	verdict	outcome	n	S	A	R	adv	kd
necro-jab-block	PASS	BLOCK	1	5	1	8	+2	0
necro-strong-block	PASS	BLOCK	1	8	1	12	+0	0
necro-fierce-block	PASS	BLOCK	1	15	1	28	-13	0
necro-short-block	PASS	BLOCK	1	4	1	9	+1	0
necro-forward-block	PASS	BLOCK	1	9	1	14	-1	0
necro-roundhouse-block	PASS	BLOCK	1	18	1	24	-8	0
necro-jab-hit	PASS	HIT	1	5	1	8	+2	0
necro-strong-hit	PASS	HIT	1	8	1	12	+1	0
necro-fierce-hit	PASS	HIT	1	15	1	28	-11	0
necro-short-hit	PASS	HIT	1	4	1	9	+1	0
necro-forward-hit	PASS	HIT	1	9	1	14	+0	0
necro-roundhouse-hit	PASS	HIT	1	18	1	24	-6	0
necro-lp-whiff	PASS	WHIFF	1	5	1	8	+0	0
necro-mp-whiff	PASS	WHIFF	1	8	1	12	+0	0
necro-hp-whiff	PASS	HIT	1	15	1	28	-11	0
necro-lk-whiff	PASS	WHIFF	1	4	1	9	+0	0
necro-mk-whiff	PASS	WHIFF	1	9	1	14	+0	0
necro-hk-whiff	PASS	WHIFF	1	18	1	24	+0	0
necro-crjab-block	PASS	BLOCK	1	6	1	4	+5	0
necro-crstrong-block	PASS	BLOCK	1	8	1	12	+0	0
necro-crfierce-block	PASS	BLOCK	1	16	1	22	-7	0
necro-crshort-block	PASS	BLOCK	1	6	1	8	+2	0
necro-crforward-block	PASS	BLOCK	1	12	1	17	-5	0
necro-crroundhouse-block	PASS	BLOCK	1	13	1	27	-12	0
necro-crroundhouse-whiff	PASS	WHIFF	1	13	1	27	+0	0
necro-crroundhouse-hit	PASS	HIT	1	13	1	27	+31	1
necro-backforward-block	PASS	BLOCK	1	5	1	10	+3	0
necro-backforward-whiff	PASS	WHIFF	1	5	1	10	+0	0
necro-backforward-crouch-probe	PASS	BLOCK	1	5	1	10	+3	0
necro-dbfierce-block	PASS	BLOCK	1	9	1	14	+2	0
necro-dbfierce-whiff	PASS	WHIFF	1	9	1	14	+0	0
necro-dbfierce-hit	PASS	HIT	1	9	1	14	+76	1
necro-uoh-whiff	PASS	WHIFF	1	15	10	5	+0	0
necro-uoh-block	PASS	BLOCK	1	15	12	4	-4	0
necro-uoh-hit	PASS	HIT	1	15	10	4	+1	0
necro-throw-whiff	PASS	WHIFF	1	2	1	21	+0	0
necro-ragingcobra-lk-whiff	PASS	WHIFF	1	23	4	17	+0	0
necro-ragingcobra-lk-block	PASS	BLOCK	1	23	4	17	-5	0
necro-ragingcobra-lk-hit	PASS	HIT	1	23	4	17	+53	1
necro-flyingviper-lp-whiff	PASS	WHIFF	1	26	5	17	+0	0
necro-flyingviper-lp-block	XFAIL	BLOCK	1	26	5	19	-3	0
necro-flyingviper-lp-crouch-probe	XFAIL	BLOCK	1	26	5	15	+1	0
necro-flyingviper-lp-hit	XFAIL	HIT	1	26	5	19	+53	1
necro-spinpunch-lp-whiff	PASS	WHIFF	1	6	8	13	+0	0
necro-spinpunch-lp-block	PASS	BLOCK	1	6	8	13	+1	0
necro-spinpunch-lp-hit	PASS	HIT	1	6	8	13	+78	1
necro-snakefang-lk-whiff	PASS	WHIFF	1	12	1	28	+0	0
necro-snakefang-lk-block	PASS	BLOCK	1	12	1	28	-13	0
necro-snakefang-lk-crouch-probe	PASS	BLOCK	1	12	1	28	-13	0
necro-snakefang-lk-hit	PASS	HIT	1	12	1	41	+120	1
necro-jump-none	PASS	-	0	-	-	-	-	-
