label	verdict	outcome	n	S	A	R	adv	kd
oro-jab-block	PASS	BLOCK	1	2	1	5	+5	0
oro-far-jab-block	PASS	BLOCK	1	4	1	10	+0	0
oro-strong-block	PASS	BLOCK	1	5	4	16	-2	0
oro-far-strong-block	PASS	BLOCK	1	8	4	12	-2	0
oro-fierce-block	PASS	BLOCK	1	17	3	19	-5	0
oro-short-block	PASS	BLOCK	1	2	2	4	+4	0
oro-far-short-block	PASS	BLOCK	1	3	1	8	+2	0
oro-forward-block	PASS	BLOCK	1	4	3	15	-5	0
oro-far-forward-block	PASS	BLOCK	1	8	6	12	-5	0
oro-roundhouse-block	PASS	BLOCK	1	7	4	17	-5	0
oro-jab-hit	PASS	HIT	1	2	1	5	+5	0
oro-strong-hit	PASS	HIT	1	5	4	16	+95	1
oro-fierce-hit	PASS	HIT	1	17	3	19	-3	0
oro-short-hit	PASS	HIT	1	2	2	4	+4	0
oro-forward-hit	PASS	HIT	1	4	3	15	-4	0
oro-roundhouse-hit	PASS	HIT	1	7	4	17	-3	0
oro-lp-whiff	PASS	WHIFF	1	4	1	10	+0	0
oro-mp-whiff	PASS	WHIFF	1	8	4	12	+0	0
oro-hp-whiff	PASS	WHIFF	1	17	3	19	+0	0
oro-lk-whiff	PASS	WHIFF	1	3	1	8	+0	0
oro-mk-whiff	PASS	WHIFF	1	8	6	12	+0	0
oro-hk-whiff	PASS	WHIFF	1	7	4	17	+0	0
oro-crjab-block	PASS	BLOCK	1	4	2	9	+1	0
oro-crstrong-block	PASS	BLOCK	1	7	6	12	-5	0
oro-crfierce-block	PASS	BLOCK	1	6	4	18	-2	0
oro-crshort-block	PASS	BLOCK	1	4	2	9	+1	0
oro-crforward-block	PASS	BLOCK	1	6	4	11	+0	0
oro-crroundhouse-block	PASS	BLOCK	1	10	2	20	-6	0
oro-crstrong-hit	PASS	HIT	1	7	6	12	-4	0
oro-crroundhouse-hit	PASS	HIT	1	10	2	20	+37	1
oro-twdsmp-block	PASS	BLOCK	1	8	2	18	-5	0
oro-twdsmp-whiff	PASS	WHIFF	1	8	2	18	+0	0
oro-uoh-whiff	PASS	WHIFF	1	15	10	5	+0	0
oro-uoh-block	PASS	BLOCK	1	15	10	6	-4	0
oro-uoh-hit	PASS	HIT	1	15	10	4	+1	0
oro-throw-whiff	PASS	WHIFF	1	2	1	21	+0	0
oro-throw-hit	PASS	HIT	1	2	1	157	+107	1
oro-niouriki-lp-whiff	PASS	WHIFF	1	9	2	29	+0	0
oro-niouriki-lp-block	PASS	BLOCK	1	9	2	29	-15	0
oro-niouriki-lp-hit	PASS	HIT	1	9	2	44	+72	1
oro-nichirin-lp-whiff	PASS	WHIFF	1	15	29	27	+0	0
oro-nichirin-lp-block	PASS	BLOCK	1	15	12	27	+3	0
oro-nichirin-lp-hit	PASS	HIT	1	15	12	27	+4	0
oro-nichirin-mp-whiff	PASS	WHIFF	1	15	27	25	+0	0
oro-nichirin-hp-whiff	PASS	WHIFF	1	13	25	23	+0	0
oro-oniyama-lp-whiff	PASS	WHIFF	1	6	10	29	+0	0
oro-oniyama-lp-block	PASS	BLOCK	1	6	10	29	-21	0
oro-oniyama-lp-hit	PASS	HIT	1	6	10	29	+75	1
oro-jinchu-lk-whiff	PASS	WHIFF	1	27	6	19	+0	0
oro-jinchu-lk-block	XFAIL	BLOCK	1	27	6	0	+16	0
oro-jinchu-lk-hit	PASS	HIT	1	27	6	33	+98	1
oro-jump-none	PASS	-	0	-	-	-	-	-
