label	verdict	outcome	n	S	A	R	adv	kd
q-far-jab-block	PASS	BLOCK	1	6	4	4	+4	0
q-jab-block	PASS	BLOCK	1	4	4	6	+2	0
q-strong-block	PASS	BLOCK	1	12	5	19	-2	0
q-fierce-block	PASS	BLOCK	1	18	16	23	-23	0
q-short-block	PASS	BLOCK	1	4	4	8	+2	0
q-forward-block	PASS	BLOCK	1	7	2	18	-2	0
q-far-forward-block	PASS	BLOCK	1	8	5	14	-1	0
q-roundhouse-block	PASS	BLOCK	1	20	5	28	-12	0
q-lp-whiff	PASS	WHIFF	1	6	4	4	+0	0
q-mp-whiff	PASS	WHIFF	1	12	5	19	+0	0
q-hp-whiff	PASS	WHIFF	1	18	16	23	+0	0
q-lk-whiff	PASS	WHIFF	1	4	4	8	+0	0
q-mk-whiff	PASS	WHIFF	1	8	5	14	+0	0
q-hk-whiff	PASS	WHIFF	1	20	5	28	+0	0
q-crlk-block	PASS	BLOCK	1	6	5	8	-2	0
q-crmk-block	PASS	BLOCK	1	7	3	14	-3	0
q-crhk-block	PASS	BLOCK	1	12	8	33	-25	0
q-crlk-whiff	PASS	WHIFF	1	6	5	8	+0	0
q-crmk-whiff	PASS	WHIFF	1	7	3	14	+0	0
q-crhk-whiff	PASS	WHIFF	1	12	8	33	+0	0
q-far-jab-hit	PASS	HIT	1	6	4	4	+4	0
q-jab-hit	PASS	HIT	1	4	4	6	+2	0
q-strong-hit	PASS	HIT	1	12	5	19	+0	0
q-fierce-hit	PASS	HIT	1	18	16	23	+51	1
q-short-hit	PASS	HIT	1	4	4	8	+2	0
q-forward-hit	PASS	HIT	1	7	2	18	+0	0
q-far-forward-hit	PASS	HIT	1	8	5	14	+1	0
q-roundhouse-hit	PASS	HIT	1	20	5	28	-10	0
q-crlk-hit	PASS	HIT	1	6	5	8	-2	0
q-crmk-hit	PASS	HIT	1	7	3	14	-2	0
q-crhk-hit	PASS	HIT	1	12	8	33	+18	1
q-crhp-block	PASS	BLOCK	1	14	1	20	-3	0
q-crhp-whiff	PASS	WHIFF	1	14	1	20	+0	0
q-backhp-whiff	PASS	WHIFF	1	13	11	15	+0	0
q-backhp-block	PASS	BLOCK	1	13	11	15	-1	0
q-backhp-hit	PASS	HIT	1	13	11	15	+1	0
q-backhk-whiff	PASS	WHIFF	1	11	7	35	+0	0
q-backhk-block	PASS	BLOCK	1	11	7	35	-26	0
q-backhk-hit	PASS	HIT	1	11	7	35	+17	1
q-dha-jab-whiff	PASS	WHIFF	1	13	3	16	+0	0
q-dha-strong-whiff	PASS	WHIFF	1	15	3	16	+0	0
q-dla-short-whiff	PASS	WHIFF	1	25	2	29	+0	0
q-dla-forward-whiff	PASS	WHIFF	1	28	2	30	+0	0
q-hsb-jab-whiff	PASS	WHIFF	1	9	3	26	+0	0
q-dha-fierce-hit	PASS	HIT	1	19	4	16	-1	0
q-dla-rh-block	PASS	BLOCK	1	31	2	31	-15	0
q-dla-rh-hit	PASS	HIT	1	31	2	24	+35	1
q-hsb-jab-block	PASS	BLOCK	1	9	3	26	-6	0
q-hsb-jab-hit	PASS	HIT	1	9	3	21	+1	0
q-hsb-strong-block	PASS	BLOCK	1	8	4	28	-9	0
q-hsb-strong-hit	PASS	HIT	1	8	4	21	+0	0
q-hsb-fierce-block	PASS	BLOCK	1	9	3	28	-8	0
q-hsb-fierce-hit	PASS	HIT	1	9	3	21	+1	0
q-cndb-lk-hit	PASS	HIT	1	12	2	42	+124	1
q-cndb-lk-whiff	PASS	WHIFF	1	12	2	42	+0	0
q-cndb-mk-hit	PASS	HIT	1	13	2	44	+126	1
q-cndb-mk-whiff	PASS	WHIFF	1	13	2	44	+0	0
q-cndb-hk-hit	PASS	HIT	1	14	2	46	+128	1
q-cndb-hk-whiff	PASS	WHIFF	1	14	2	46	+0	0
q-uoh-samef-block	PASS	BLOCK	1	15	11	6	-4	0
q-uoh-1f-block	PASS	BLOCK	1	16	11	5	-4	0
q-uoh-whiff	PASS	WHIFF	1	15	10	5	+0	0
q-uoh-whiff-r	PASS	WHIFF	1	15	10	5	+0	0
q-uoh-samef-hit	PASS	HIT	1	15	11	4	+1	0
q-uoh-1f-hit	PASS	HIT	1	16	11	3	+1	0
q-uoh-chain-retrigger	PASS	BLOCK	1	15	11	6	-4	0
q-crmk-multimove-merge	PASS	BLOCK	1	7	3	14	-3	0
q-crmp-hit-capture-a	PASS	HIT	1	8	5	13	-1	0
q-crmp-hit-capture-b	PASS	HIT	1	8	5	13	-1	0
q-taunt	PASS	WHIFF	1	62	0	0	+0	0
q-throw-whiff	PASS	WHIFF	1	2	1	21	+0	0
q-throw-hit	PASS	HIT	1	2	1	34	+101	1
q-jump-none	PASS	-	0	-	-	-	-	-
