label	verdict	outcome	n	S	A	R	adv	kd
remy-jab-block	PASS	BLOCK	1	4	4	4	+3	0
remy-crfierce-block	PASS	BLOCK	1	8	6	18	-5	0
remy-crroundhouse-block	PASS	BLOCK	1	9	7	21	-11	0
remy-jab-hit	PASS	HIT	1	4	4	4	+3	0
remy-fierce-hit	PASS	HIT	1	6	7	8	+3	0
remy-crfierce-hit	PASS	HIT	1	8	6	18	+93	1
remy-lp-whiff	PASS	WHIFF	1	4	4	3	+0	0
remy-hk-whiff	PASS	WHIFF	1	10	3	23	+0	0
remy-uoh-block	PASS	BLOCK	1	15	13	4	-11	0
remy-uoh-hit	PASS	HIT	1	15	11	4	-6	0
remy-throw-hit	PASS	HIT	1	2	1	22	+152	1
remy-lov-lp-whiff	PASS	WHIFF	1	9	24	22	+0	0
remy-lov-lp-block	PASS	BLOCK	1	9	21	22	+23	0
remy-lov-lp-hit	PASS	HIT	1	9	21	22	+24	0
remy-rrf-lk-hit	PASS	HIT	1	3	4	32	+79	1
remy-jump-none	PASS	-	0	-	-	-	-	-
