label	verdict	outcome	n	S	A	R	adv	kd
remy-jab-block	PASS	BLOCK	1	4	4	4	+3	0
remy-farjab-block	PASS	BLOCK	1	4	4	3	+4	0
remy-strong-block	PASS	BLOCK	1	5	2	8	+5	0
remy-farstrong-block	PASS	BLOCK	1	7	1	12	+1	0
remy-fierce-block	PASS	BLOCK	1	6	7	8	+1	0
remy-farfierce-block	PASS	BLOCK	1	10	2	18	-2	0
remy-short-block	PASS	BLOCK	1	2	5	7	+0	0
remy-farshort-block	PASS	BLOCK	1	2	5	4	+2	0
remy-forward-block	PASS	BLOCK	1	4	6	11	+1	0
remy-farforward-block	PASS	BLOCK	1	8	3	14	-3	0
remy-roundhouse-block	PASS	BLOCK	1	7	3	13	+3	0
remy-farroundhouse-block	PASS	BLOCK	1	10	3	23	-9	0
remy-jab-hit	PASS	HIT	1	4	4	4	+3	0
remy-strong-hit	PASS	HIT	1	5	2	8	+6	0
remy-fierce-hit	PASS	HIT	1	6	7	8	+3	0
remy-short-hit	PASS	HIT	1	2	5	7	+0	0
remy-forward-hit	PASS	HIT	1	4	6	11	+3	0
remy-roundhouse-hit	PASS	HIT	1	7	3	13	+5	0
remy-lp-whiff	PASS	WHIFF	1	4	4	3	+0	0
remy-mp-whiff	PASS	WHIFF	1	7	3	12	+0	0
remy-hp-whiff	PASS	WHIFF	1	10	5	18	+0	0
remy-lk-whiff	PASS	WHIFF	1	2	5	4	+0	0
remy-mk-whiff	PASS	WHIFF	1	8	5	14	+0	0
remy-hk-whiff	PASS	WHIFF	1	10	3	23	+0	0
remy-crjab-block	PASS	BLOCK	1	5	2	7	+2	0
remy-crstrong-block	PASS	BLOCK	1	5	5	11	-2	0
remy-crfierce-block	PASS	BLOCK	1	8	6	18	-5	0
remy-crshort-block	PASS	BLOCK	1	3	4	7	+0	0
remy-crforward-block	PASS	BLOCK	1	8	5	18	-9	0
remy-crroundhouse-block	PASS	BLOCK	1	9	7	21	-11	0
remy-crfierce-whiff	PASS	WHIFF	1	8	6	18	+0	0
remy-crfierce-hit	PASS	HIT	1	8	6	18	+93	1
remy-crroundhouse-whiff	PASS	WHIFF	1	9	7	21	+0	0
remy-crroundhouse-hit	PASS	HIT	1	9	7	21	+12	1
remy-twdsforward-block	PASS	BLOCK	1	18	1	20	-7	0
remy-twdsforward-whiff	PASS	WHIFF	1	18	3	20	+0	0
remy-uoh-whiff	PASS	WHIFF	1	15	10	5	+0	0
remy-uoh-block	PASS	BLOCK	1	15	13	4	-11	0
remy-uoh-hit	PASS	HIT	1	15	11	4	-6	0
remy-throw-whiff	PASS	WHIFF	1	2	1	21	+0	0
remy-throw-hit	PASS	HIT	1	2	1	22	+152	1
remy-lov-lp-whiff	PASS	WHIFF	1	9	24	22	+0	0
remy-lov-lp-block	PASS	BLOCK	1	9	21	22	+23	0
remy-lov-lp-crouch-probe	PASS	WHIFF	1	9	24	22	+0	0
remy-lov-lp-hit	PASS	HIT	1	9	21	22	+24	0
remy-lov-lk-whiff	PASS	WHIFF	1	11	28	26	+0	0
remy-lov-lk-block	PASS	BLOCK	1	11	19	26	+17	0
remy-lov-lk-crouch-probe	PASS	BLOCK	1	11	17	26	+15	0
remy-lov-lk-hit	PASS	HIT	1	11	19	26	+18	0
remy-rrf-lk-whiff	PASS	WHIFF	1	3	3	32	+0	0
remy-rrf-lk-block	PASS	BLOCK	1	3	4	32	-17	0
remy-rrf-lk-hit	PASS	HIT	1	3	4	32	+79	1
remy-cbk-lk-whiff	PASS	WHIFF	1	17	10	10	+0	0
remy-cbk-lk-block	XFAIL	BLOCK	1	17	14	10	-4	0
remy-cbk-lk-hit	XFAIL	HIT	1	17	14	10	-4	0
remy-jump-none	PASS	-	0	-	-	-	-	-
