label	verdict	outcome	n	S	A	R	adv	kd
ryu-jab-block	PASS	BLOCK	1	3	3	5	+3	0
ryu-far-jab-block	PASS	BLOCK	1	4	3	4	+4	0
ryu-strong-block	PASS	BLOCK	1	5	4	10	+1	0
ryu-far-strong-block	PASS	BLOCK	1	5	1	9	+4	0
ryu-fierce-block	PASS	BLOCK	1	4	4	17	-4	0
ryu-far-fierce-block	PASS	BLOCK	1	11	3	18	-3	0
ryu-short-block	PASS	BLOCK	1	4	4	7	+2	0
ryu-forward-block	PASS	BLOCK	1	4	5	11	+2	0
ryu-far-forward-block	PASS	BLOCK	1	6	4	15	-5	0
ryu-roundhouse-block	PASS	BLOCK	1	8	5	18	-5	0
ryu-jab-hit	PASS	HIT	1	3	3	5	+3	0
ryu-strong-hit	PASS	HIT	1	5	4	10	+2	0
ryu-fierce-hit	PASS	HIT	1	4	4	17	-2	0
ryu-short-hit	PASS	HIT	1	4	4	7	+2	0
ryu-forward-hit	PASS	HIT	1	4	5	11	+4	0
ryu-roundhouse-hit	PASS	HIT	1	8	5	18	-3	0
ryu-lp-whiff	PASS	WHIFF	1	4	3	4	+0	0
ryu-mp-whiff	PASS	WHIFF	1	5	4	9	+0	0
ryu-hp-whiff	PASS	WHIFF	1	11	3	18	+0	0
ryu-lk-whiff	PASS	WHIFF	1	4	4	7	+0	0
ryu-mk-whiff	PASS	WHIFF	1	6	4	15	+0	0
ryu-hk-whiff	PASS	WHIFF	1	8	5	18	+0	0
ryu-crlk-block	PASS	BLOCK	1	5	3	7	+1	0
ryu-crmk-block	PASS	BLOCK	1	7	1	16	-3	0
ryu-crhk-block	PASS	BLOCK	1	7	5	25	-13	0
ryu-twdsmp-block	PASS	BLOCK	1	14	12	9	-1	0
ryu-twdshp-block	PASS	BLOCK	1	18	4	13	+2	0
ryu-uoh-block	PASS	BLOCK	1	15	9	7	-4	0
ryu-uoh-hit	PASS	HIT	1	15	9	5	+1	0
ryu-throw-whiff	PASS	WHIFF	1	2	1	21	+0	0
ryu-throw-hit	PASS	HIT	1	2	1	38	+82	1
ryu-had-lp-block	PASS	BLOCK	1	10	3	36	-9	0
ryu-had-mp-block	PASS	BLOCK	1	10	3	36	-9	0
ryu-had-hp-block	PASS	BLOCK	1	10	3	36	-9	0
ryu-had-lp-hit	PASS	HIT	1	10	3	36	-8	0
ryu-had-mp-hit	PASS	HIT	1	10	3	36	-8	0
ryu-had-hp-hit	PASS	HIT	1	10	3	36	-8	0
ryu-jump-none	PASS	-	0	-	-	-	-	-
