label	verdict	outcome	n	S	A	R	adv	kd
sean-jab-block	PASS	BLOCK	1	3	2	5	+5	0
sean-strong-block	PASS	BLOCK	1	4	5	10	+0	0
sean-farstrong-block	PASS	BLOCK	1	5	1	13	+0	0
sean-fierce-block	PASS	BLOCK	1	5	5	15	-4	0
sean-farfierce-block	PASS	BLOCK	1	9	4	19	-7	0
sean-short-block	PASS	BLOCK	1	4	4	7	+2	0
sean-forward-block	PASS	BLOCK	1	6	4	15	-2	0
sean-roundhouse-block	PASS	BLOCK	1	5	5	10	+2	0
sean-farroundhouse-block	PASS	BLOCK	1	7	2	25	-9	0
sean-jab-hit	PASS	HIT	1	3	2	5	+5	0
sean-strong-hit	PASS	HIT	1	4	5	10	+1	0
sean-fierce-hit	PASS	HIT	1	5	5	15	-2	0
sean-short-hit	PASS	HIT	1	4	4	7	+2	0
sean-forward-hit	PASS	HIT	1	6	4	15	-1	0
sean-roundhouse-hit	PASS	HIT	1	5	5	10	+4	0
sean-farroundhouse-hit	PASS	HIT	1	7	2	25	-7	0
sean-lp-whiff	PASS	WHIFF	1	3	2	5	+0	0
sean-mp-whiff	PASS	WHIFF	1	5	4	13	+0	0
sean-hp-whiff	PASS	WHIFF	1	9	4	19	+0	0
sean-lk-whiff	PASS	WHIFF	1	4	4	7	+0	0
sean-mk-whiff	PASS	WHIFF	1	6	4	15	+0	0
sean-hk-whiff	PASS	WHIFF	1	7	4	26	+0	0
sean-crjab-block	PASS	BLOCK	1	4	3	5	+3	0
sean-crstrong-block	PASS	BLOCK	1	5	4	7	+3	0
sean-crfierce-block	PASS	BLOCK	1	7	5	17	-9	0
sean-crshort-block	PASS	BLOCK	1	5	3	7	+1	0
sean-crforward-block	PASS	BLOCK	1	7	1	17	-4	0
sean-crforward-whiff	PASS	WHIFF	1	7	5	17	+0	0
sean-crroundhouse-block	PASS	BLOCK	1	8	5	26	-16	0
sean-crroundhouse-whiff	PASS	WHIFF	1	8	5	26	+0	0
sean-crroundhouse-hit	PASS	HIT	1	8	5	26	+27	1
sean-twdshp-block	PASS	BLOCK	1	21	5	22	-6	0
sean-twdshp-whiff	PASS	WHIFF	1	21	7	25	+0	0
sean-twdshk-block	PASS	BLOCK	1	15	5	18	-5	0
sean-twdshk-whiff	PASS	WHIFF	1	15	5	18	+0	0
sean-twdshk-hit	PASS	HIT	1	15	5	18	+12	1
sean-uoh-whiff	PASS	WHIFF	1	15	8	7	+0	0
sean-uoh-block	PASS	BLOCK	1	15	8	8	-4	0
sean-uoh-hit	PASS	HIT	1	15	8	6	+1	0
sean-throw-whiff	PASS	WHIFF	1	2	1	21	+0	0
sean-throw-hit	PASS	HIT	1	2	1	38	+82	1
sean-dragonsmash-lp-whiff	PASS	WHIFF	1	5	6	36	+0	0
sean-dragonsmash-lp-block	PASS	BLOCK	1	5	6	36	-24	0
sean-dragonsmash-lp-hit	PASS	HIT	1	5	6	36	+72	1
sean-dragonsmash-mp-whiff	PASS	WHIFF	1	7	8	39	+0	0
sean-dragonsmash-mp-block	PASS	BLOCK	1	7	8	39	-30	0
sean-dragonsmash-mp-hit	PASS	HIT	1	7	8	39	+66	1
sean-dragonsmash-hp-whiff	PASS	WHIFF	1	9	9	42	+0	0
sean-dragonsmash-hp-block	PASS	BLOCK	1	9	9	42	-34	0
sean-dragonsmash-hp-hit	PASS	HIT	1	9	9	42	+62	1
sean-tornado-lk-whiff	PASS	WHIFF	1	11	4	21	+0	0
sean-tornado-lk-block	PASS	BLOCK	1	11	4	21	-7	0
sean-tornado-lk-hit	PASS	HIT	1	11	4	21	-5	0
sean-tornado-mk-block	PASS	BLOCK	1	14	8	21	-6	0
sean-tornado-mk-hit	PASS	HIT	1	14	8	21	-4	0
sean-tornado-hk-block	PASS	BLOCK	1	16	13	21	-6	0
sean-tornado-hk-hit	PASS	HIT	1	16	13	21	-4	0
sean-ryuubi-lk-whiff	PASS	WHIFF	1	25	8	15	+0	0
sean-ryuubi-mk-whiff	PASS	WHIFF	1	25	8	15	+0	0
sean-ryuubi-lk-block	PASS	BLOCK	1	25	10	15	-3	0
sean-ryuubi-lk-hit	PASS	HIT	1	25	10	15	-3	0
sean-ryuubi-mk-block	PASS	BLOCK	1	25	10	15	-3	0
sean-ryuubi-mk-hit	PASS	HIT	1	25	10	15	-3	0
sean-ryuubi-hk-block	XFAIL	BLOCK	1	25	10	14	-2	0
sean-ryuubi-hk-hit	PASS	HIT	1	25	10	15	-3	0
sean-roll-lp-whiff	PASS	WHIFF	1	28	0	0	+0	0
sean-roll-mp-whiff	PASS	WHIFF	1	38	0	0	+0	0
sean-roll-hp-whiff	PASS	WHIFF	1	52	0	0	+0	0
sean-jump-none	PASS	-	0	-	-	-	-	-
