label	verdict	outcome	n	S	A	R	adv	kd
twelve-jab-block	PASS	BLOCK	1	3	3	7	+1	0
twelve-crstrong-block	PASS	BLOCK	1	5	1	15	-2	0
twelve-crroundhouse-block	PASS	BLOCK	1	13	6	25	-11	0
twelve-jab-hit	PASS	HIT	1	3	3	7	+1	0
twelve-fierce-hit	PASS	HIT	1	12	4	17	-1	0
twelve-crfierce-hit	PASS	HIT	1	10	18	13	-1	0
twelve-lp-whiff	PASS	WHIFF	1	3	3	7	+0	0
twelve-hk-whiff	PASS	WHIFF	1	17	3	25	+0	0
twelve-uoh-block	PASS	BLOCK	1	15	12	4	-4	0
twelve-uoh-hit	PASS	HIT	1	15	10	4	+1	0
twelve-throw-hit	PASS	HIT	1	2	1	155	+65	1
twelve-axe-jab-whiff	PASS	WHIFF	1	6	11	15	+0	0
twelve-axe-jab-block	PASS	BLOCK	1	6	8	15	-5	0
twelve-axe-jab-hit	PASS	HIT	1	6	8	12	-1	0
twelve-ndl-jab-block	PASS	BLOCK	1	15	11	14	-5	0
twelve-ndl-jab-hit	PASS	HIT	1	15	11	14	-4	0
twelve-jump-none	PASS	-	0	-	-	-	-	-
