label	verdict	outcome	n	S	A	R	adv	kd
twelve-jab-block	PASS	BLOCK	1	3	3	7	+1	0
twelve-strong-block	PASS	BLOCK	1	6	4	12	-2	0
twelve-farstrong-block	PASS	BLOCK	1	9	4	13	-2	0
twelve-fierce-block	PASS	BLOCK	1	12	4	17	-3	0
twelve-short-block	PASS	BLOCK	1	3	2	10	-1	0
twelve-forward-block	PASS	BLOCK	1	6	5	13	-4	0
twelve-roundhouse-block	PASS	BLOCK	1	17	3	25	-11	0
twelve-jab-hit	PASS	HIT	1	3	3	7	+1	0
twelve-strong-hit	PASS	HIT	1	6	4	12	-1	0
twelve-fierce-hit	PASS	HIT	1	12	4	17	-1	0
twelve-short-hit	PASS	HIT	1	3	2	10	-1	0
twelve-forward-hit	PASS	HIT	1	6	4	12	-1	0
twelve-roundhouse-hit	PASS	HIT	1	17	3	17	-1	0
twelve-lp-whiff	PASS	WHIFF	1	3	3	7	+0	0
twelve-mp-whiff	PASS	WHIFF	1	9	4	13	+0	0
twelve-hp-whiff	PASS	WHIFF	1	12	4	17	+0	0
twelve-lk-whiff	PASS	WHIFF	1	3	2	10	+0	0
twelve-mk-whiff	PASS	WHIFF	1	6	6	13	+0	0
twelve-hk-whiff	PASS	WHIFF	1	17	3	25	+0	0
twelve-crjab-block	PASS	BLOCK	1	3	2	5	+4	0
twelve-crstrong-block	PASS	BLOCK	1	5	1	15	-2	0
twelve-crstrong-whiff	PASS	WHIFF	1	5	2	10	+0	0
twelve-crstrong-hit	PASS	HIT	1	5	1	10	+4	0
twelve-crfierce-block	PASS	BLOCK	1	10	18	18	-8	0
twelve-crfierce-whiff	PASS	WHIFF	1	10	7	18	+0	0
twelve-crfierce-hit	PASS	HIT	1	10	18	13	-1	0
twelve-crshort-block	PASS	BLOCK	1	3	4	8	+1	0
twelve-crforward-block	PASS	BLOCK	1	8	2	14	-2	0
twelve-crroundhouse-block	PASS	BLOCK	1	13	6	25	-11	0
twelve-crroundhouse-whiff	PASS	WHIFF	1	13	6	25	+0	0
twelve-crroundhouse-hit	PASS	HIT	1	13	10	25	+24	1
twelve-backforward-block	PASS	BLOCK	1	5	5	14	-2	0
twelve-backforward-whiff	PASS	WHIFF	1	5	5	14	+0	0
twelve-backforward-crouch-probe	PASS	BLOCK	1	5	5	14	-2	0
twelve-uoh-whiff	PASS	WHIFF	1	15	10	5	+0	0
twelve-uoh-block	PASS	BLOCK	1	15	12	4	-4	0
twelve-uoh-hit	PASS	HIT	1	15	10	4	+1	0
twelve-throw-whiff	PASS	WHIFF	1	2	1	21	+0	0
twelve-throw-hit	PASS	HIT	1	2	1	155	+65	1
twelve-axe-jab-whiff	PASS	WHIFF	1	6	11	15	+0	0
twelve-axe-jab-block	PASS	BLOCK	1	6	8	15	-5	0
twelve-axe-jab-hit	PASS	HIT	1	6	8	12	-1	0
twelve-axe-jab-crouch-probe	PASS	BLOCK	1	6	8	15	-5	0
twelve-axe-strong-whiff	PASS	WHIFF	1	10	11	16	+0	0
twelve-axe-strong-block	PASS	BLOCK	1	10	11	16	-6	0
twelve-axe-strong-hit	PASS	HIT	1	10	11	12	-1	0
twelve-axe-fierce-whiff	PASS	WHIFF	1	14	11	17	+0	0
twelve-axe-fierce-block	PASS	BLOCK	1	14	11	17	-7	0
twelve-axe-fierce-hit	PASS	HIT	1	14	11	12	-1	0
twelve-ndl-jab-whiff	PASS	WHIFF	1	15	11	14	+0	0
twelve-ndl-jab-block	PASS	BLOCK	1	15	11	14	-5	0
twelve-ndl-jab-hit	PASS	HIT	1	15	11	14	-4	0
twelve-ndl-strong-whiff	PASS	WHIFF	1	15	13	16	+0	0
twelve-ndl-strong-block	PASS	BLOCK	1	15	13	16	-9	0
twelve-ndl-strong-hit	PASS	HIT	1	15	13	16	-8	0
twelve-ndl-fierce-whiff	PASS	WHIFF	1	16	13	20	+0	0
twelve-ndl-fierce-block	PASS	BLOCK	1	16	13	20	-13	0
twelve-ndl-fierce-hit	PASS	HIT	1	16	13	20	-12	0
twelve-jump-none	PASS	-	0	-	-	-	-	-
