label	verdict	outcome	n	S	A	R	adv	kd
urien-jab-block	PASS	BLOCK	1	4	2	6	+3	0
urien-strong-block	PASS	BLOCK	1	5	5	10	+0	0
urien-fierce-block	PASS	BLOCK	1	10	4	15	-3	0
urien-short-block	PASS	BLOCK	1	5	2	7	+2	0
urien-forward-block	PASS	BLOCK	1	8	2	15	-4	0
urien-roundhouse-block	PASS	BLOCK	1	17	6	20	-7	0
urien-jab-hit	PASS	HIT	1	4	2	6	+3	0
urien-strong-hit	PASS	HIT	1	5	5	10	+1	0
urien-fierce-hit	PASS	HIT	1	10	4	15	-1	0
urien-short-hit	PASS	HIT	1	5	2	7	+2	0
urien-forward-hit	PASS	HIT	1	8	2	15	-3	0
urien-roundhouse-hit	PASS	HIT	1	17	6	20	-5	0
urien-lp-whiff	PASS	WHIFF	1	4	2	6	+0	0
urien-mp-whiff	PASS	WHIFF	1	5	5	10	+0	0
urien-hp-whiff	PASS	WHIFF	1	10	4	15	+0	0
urien-lk-whiff	PASS	WHIFF	1	5	2	7	+0	0
urien-mk-whiff	PASS	WHIFF	1	8	2	15	+0	0
urien-hk-whiff	PASS	WHIFF	1	17	6	20	+0	0
urien-crjab-block	PASS	BLOCK	1	4	2	7	+1	0
urien-crstrong-block	PASS	BLOCK	1	11	2	15	-2	0
urien-crshort-block	PASS	BLOCK	1	5	1	9	+1	0
urien-crforward-block	PASS	BLOCK	1	7	3	11	+0	0
urien-crfierce-block	PASS	BLOCK	1	9	2	25	-10	0
urien-crfierce-hit	PASS	HIT	1	9	2	22	+89	1
urien-crroundhouse-block	PASS	BLOCK	1	12	3	21	-13	0
urien-crroundhouse-hit	PASS	HIT	1	12	3	21	+33	1
urien-twdsmp-block	PASS	BLOCK	1	9	2	14	-3	0
urien-twdsmp-whiff	PASS	WHIFF	1	9	2	14	+0	0
urien-twdshp-block	PASS	BLOCK	1	14	1	21	-6	0
urien-twdshp-whiff	PASS	WHIFF	1	14	1	21	+0	0
urien-twdsmk-block	PASS	BLOCK	1	16	3	12	-2	0
urien-twdsmk-whiff	PASS	WHIFF	1	16	3	12	+0	0
urien-uoh-whiff	PASS	WHIFF	1	15	10	5	+0	0
urien-uoh-block	XFAIL	BLOCK	1	15	9	4	-4	0
urien-uoh-hit	XFAIL	HIT	1	15	9	4	+1	0
urien-msphere-mp-whiff	PASS	WHIFF	1	14	37	35	+0	0
urien-msphere-hp-whiff	PASS	WHIFF	1	14	30	28	+0	0
urien-chariot-lk-whiff	PASS	WHIFF	1	7	10	25	+0	0
urien-chariot-mk-whiff	PASS	WHIFF	1	10	12	26	+0	0
urien-headbutt-lp-whiff	PASS	WHIFF	1	7	2	16	+0	0
urien-headbutt-mp-whiff	PASS	WHIFF	1	9	4	15	+0	0
urien-headbutt-hp-whiff	PASS	WHIFF	1	12	6	16	+0	0
urien-vkd-lk-whiff	PASS	WHIFF	1	24	12	7	+0	0
urien-msphere-lp-block	PASS	BLOCK	1	14	3	39	-8	0
urien-msphere-mp-block	PASS	BLOCK	1	14	3	35	-4	0
urien-msphere-hp-block	PASS	BLOCK	1	14	3	28	+3	0
urien-msphere-lp-hit	PASS	HIT	1	14	3	39	-7	0
urien-msphere-mp-hit	PASS	HIT	1	14	3	35	-3	0
urien-msphere-hp-hit	PASS	HIT	1	14	4	28	+5	0
urien-chariot-mk-block	PASS	BLOCK	1	10	12	27	-11	0
urien-chariot-hk-block	XFAIL	BLOCK	1	13	6	28	-12	0
urien-chariot-mk-hit	PASS	HIT	1	10	12	19	-1	0
urien-chariot-hk-hit	XFAIL	HIT	1	13	6	20	-2	0
urien-headbutt-lp-block	PASS	BLOCK	1	7	2	16	-5	0
urien-headbutt-mp-block	PASS	BLOCK	1	9	4	15	-6	0
urien-headbutt-hp-block	PASS	BLOCK	1	12	6	16	-9	0
urien-headbutt-lp-hit	PASS	HIT	1	7	2	16	+69	1
urien-headbutt-mp-hit	PASS	HIT	1	9	4	15	+68	1
urien-headbutt-hp-hit-spacer-whiff	PASS	WHIFF	1	4	2	6	+0	0
urien-headbutt-hp-hit	PASS	HIT	1	12	6	16	+65	1
urien-vkd-lk-block	XFAIL	BLOCK	1	24	4	32	-17	0
urien-vkd-lk-hit	PASS	HIT	1	24	4	32	+41	1
urien-throw-whiff	PASS	WHIFF	1	2	1	21	+0	0
urien-throw-hit	PASS	HIT	1	2	1	171	+60	1
urien-jump-none	PASS	-	0	-	-	-	-	-
