label	verdict	outcome	n	S	A	R	adv	kd
yang-jab-block	PASS	BLOCK	1	3	1	6	+4	0
yang-strong-block	PASS	BLOCK	1	4	1	7	+6	0
yang-farstrong-block	PASS	BLOCK	1	5	4	12	-2	0
yang-fierce-block	PASS	BLOCK	1	5	6	13	-2	0
yang-farfierce-block	PASS	BLOCK	1	9	1	21	-5	0
yang-short-block	PASS	BLOCK	1	3	3	6	+2	0
yang-forward-block	XFAIL	BLOCK	1	5	5	15	-2	0
yang-farforward-block	PASS	BLOCK	1	9	3	15	-4	0
yang-roundhouse-block	PASS	BLOCK	1	14	3	22	-8	0
yang-jab-hit	PASS	HIT	1	3	1	6	+4	0
yang-strong-hit	PASS	HIT	1	4	1	7	+7	0
yang-fierce-hit	PASS	HIT	1	5	6	13	-1	0
yang-short-hit	PASS	HIT	1	3	3	6	+2	0
yang-forward-hit	XFAIL	HIT	1	5	5	15	+94	1
yang-roundhouse-hit	PASS	HIT	1	14	3	22	-6	0
yang-lp-whiff	PASS	WHIFF	1	3	2	6	+0	0
yang-mp-whiff	PASS	WHIFF	1	5	4	12	+0	0
yang-hp-whiff	PASS	WHIFF	1	9	6	21	+0	0
yang-lk-whiff	PASS	WHIFF	1	3	3	6	+0	0
yang-mk-whiff	PASS	WHIFF	1	9	3	15	+0	0
yang-hk-whiff	PASS	WHIFF	1	14	3	22	+0	0
yang-crjab-block	PASS	BLOCK	1	3	1	6	+4	0
yang-crstrong-block	PASS	BLOCK	1	5	2	11	+2	0
yang-crfierce-block	PASS	BLOCK	1	8	10	12	+0	0
yang-crshort-block	PASS	BLOCK	1	4	1	8	+2	0
yang-crforward-block	PASS	BLOCK	1	7	2	13	-1	0
yang-crroundhouse-block	PASS	BLOCK	1	10	3	20	-7	0
yang-crroundhouse-hit	PASS	HIT	1	10	3	20	+36	1
yang-twdsmk-block	PASS	BLOCK	1	19	6	8	-1	0
yang-twdsmk-whiff	PASS	WHIFF	1	19	6	8	+0	0
yang-uoh-whiff	PASS	WHIFF	1	15	10	5	+0	0
yang-uoh-block	PASS	BLOCK	1	15	8	10	-9	0
yang-uoh-hit	PASS	HIT	1	15	8	8	-4	0
yang-throw-whiff	PASS	WHIFF	1	2	1	21	+0	0
yang-throw-hit	PASS	HIT	1	2	1	136	+102	1
yang-tourou-lp-whiff	PASS	WHIFF	1	8	5	22	+0	0
yang-tourou-lp-block	PASS	BLOCK	1	8	5	22	-1	0
yang-tourou-lp-hit	PASS	HIT	1	8	5	22	+1	0
yang-senkyuutai-lk-whiff	PASS	WHIFF	1	8	8	34	+0	0
yang-senkyuutai-lk-block	PASS	BLOCK	1	8	8	34	-35	0
yang-senkyuutai-lk-hit	PASS	HIT	1	8	8	34	+63	1
yang-byakko-lp-whiff	PASS	WHIFF	1	21	13	10	+0	0
yang-byakko-lp-block	PASS	BLOCK	1	21	6	10	-3	0
yang-byakko-lp-hit	PASS	HIT	1	21	6	10	+87	1
yang-zenpou-lk-whiff	PASS	WHIFF	1	7	2	26	+0	0
yang-zenpou-lk-hit	PASS	HIT	1	7	2	44	+19	1
yang-jump-none	PASS	-	0	-	-	-	-	-
