label	verdict	outcome	n	S	A	R	adv	kd
yun-jab-block	PASS	BLOCK	1	3	2	6	+4	0
yun-farjab-block	PASS	BLOCK	1	4	2	9	+1	0
yun-strong-block	PASS	BLOCK	1	4	1	7	+6	0
yun-farstrong-block	PASS	BLOCK	1	5	4	12	-3	0
yun-fierce-block	PASS	BLOCK	1	6	6	13	-2	0
yun-farfierce-block	PASS	BLOCK	1	9	1	21	-5	0
yun-short-block	PASS	BLOCK	1	3	3	6	+2	0
yun-forward-block	PASS	BLOCK	1	7	4	15	-2	0
yun-farforward-block	PASS	BLOCK	1	9	3	15	-4	0
yun-roundhouse-block	PASS	BLOCK	1	14	2	21	-5	0
yun-jab-hit	PASS	HIT	1	3	2	6	+4	0
yun-strong-hit	PASS	HIT	1	4	1	7	+7	0
yun-fierce-hit	PASS	HIT	1	6	6	13	-1	0
yun-short-hit	PASS	HIT	1	3	3	6	+2	0
yun-forward-hit	PASS	HIT	1	7	4	15	+94	1
yun-roundhouse-hit	PASS	HIT	1	14	2	21	+69	1
yun-lp-whiff	PASS	WHIFF	1	4	2	9	+0	0
yun-mp-whiff	PASS	WHIFF	1	5	4	12	+0	0
yun-hp-whiff	PASS	WHIFF	1	9	2	23	+0	0
yun-lk-whiff	PASS	WHIFF	1	3	3	6	+0	0
yun-mk-whiff	PASS	WHIFF	1	9	3	15	+0	0
yun-hk-whiff	PASS	WHIFF	1	14	4	22	+0	0
yun-crjab-block	PASS	BLOCK	1	4	1	6	+4	0
yun-crstrong-block	PASS	BLOCK	1	4	5	6	+5	0
yun-crfierce-block	PASS	BLOCK	1	5	2	16	+1	0
yun-crshort-block	PASS	BLOCK	1	4	1	8	+2	0
yun-crforward-block	PASS	BLOCK	1	6	3	12	-1	0
yun-crroundhouse-block	PASS	BLOCK	1	13	2	19	-5	0
yun-crroundhouse-hit	PASS	HIT	1	13	2	19	+38	1
yun-crfierce-whiff	PASS	WHIFF	1	5	4	15	+0	0
yun-twdsmk-block	PASS	BLOCK	1	19	6	8	-1	0
yun-twdsmk-whiff	PASS	WHIFF	1	19	6	8	+0	0
yun-twdshp-block	PASS	BLOCK	1	17	5	19	-7	0
yun-twdshp-whiff	PASS	WHIFF	1	17	5	19	+0	0
yun-twdshp-hit	PASS	HIT	1	17	5	19	+85	1
yun-uoh-whiff	PASS	WHIFF	1	15	9	6	+0	0
yun-uoh-block	PASS	BLOCK	1	15	9	8	-9	0
yun-uoh-hit	PASS	HIT	1	15	9	6	-4	0
yun-throw-whiff	PASS	WHIFF	1	2	1	21	+0	0
yun-throw-hit	PASS	HIT	1	2	1	136	+102	1
yun-zesshou-lp-whiff	PASS	WHIFF	1	7	5	22	+0	0
yun-zesshou-mp-whiff	PASS	WHIFF	1	10	11	16	+0	0
yun-tetsu-lp-whiff	PASS	WHIFF	1	14	6	13	+0	0
yun-tetsu-mp-whiff	PASS	WHIFF	1	18	6	15	+0	0
yun-zesshou-lp-block	PASS	BLOCK	1	7	5	22	-11	0
yun-zesshou-mp-block	PASS	BLOCK	1	10	11	16	-11	0
yun-zesshou-hp-block	XFAIL	BLOCK	1	13	16	12	-11	0
yun-zesshou-lp-hit	PASS	HIT	1	7	5	22	+63	1
yun-zesshou-mp-hit	PASS	HIT	1	10	11	16	+63	1
yun-zesshou-hp-hit	XFAIL	HIT	1	13	16	12	+63	1
yun-tetsu-lp-block	PASS	BLOCK	1	14	6	13	-1	0
yun-tetsu-mp-block	PASS	BLOCK	1	18	6	15	-3	0
yun-tetsu-hp-block	PASS	BLOCK	1	22	6	17	-5	0
yun-tetsu-lp-hit	PASS	HIT	1	14	6	13	+1	0
yun-tetsu-mp-hit	PASS	HIT	1	18	6	15	+93	1
yun-tetsu-hp-hit	PASS	HIT	1	22	6	17	+91	1
yun-nishou-short-whiff	PASS	WHIFF	1	4	6	25	+0	0
yun-nishou-forward-whiff	PASS	WHIFF	1	6	6	26	+0	0
yun-nishou-rh-whiff	PASS	WHIFF	1	8	6	28	+0	0
yun-nishou-short-block	PASS	BLOCK	1	4	6	25	-25	0
yun-nishou-forward-block	PASS	BLOCK	1	6	6	26	-26	0
yun-nishou-rh-block	PASS	BLOCK	1	8	6	28	-28	0
yun-nishou-short-hit	PASS	HIT	1	4	6	25	+86	1
yun-nishou-forward-hit	PASS	HIT	1	6	6	26	+85	1
yun-nishou-rh-hit	PASS	HIT	1	8	6	28	+83	1
yun-zenpou-tenshin-whiff	PASS	WHIFF	1	7	2	26	+0	0
yun-zenpou-tenshin-hit	PASS	HIT	1	7	2	44	+19	1
yun-jump-none	PASS	-	0	-	-	-	-	-
